time,tt,mm,evpt,prp,tempp,d18o
2006-01-31,673,1,74.0435456038,27.100014,18.8601612903,-11.82
2006-02-28,674,2,68.9839305282,3.200008,19.9769642857,-3.03364421416
2006-03-31,675,3,60.9792512655,32.70004,20.1893548387,-5.78675675676
2006-04-30,676,4,47.9114633799,42.0999,16.4521666667,-3.86274111675
2006-05-31,677,5,50.1953564882,56.1999,15.1422580645,-3.02296983759
2006-06-30,678,6,48.5837892294,87.0999,13.355,-5.7487515006
2006-07-31,679,7,56.8558434248,174.80001,13.2014516129,-4.55690930788
2006-08-31,680,8,66.4193780422,186.59985,14.8127419355,-3.81923216445
2006-09-30,681,9,72.9923735857,68.1999,14.5685,-3.22657940663
2006-10-31,682,10,89.1259474754,60.79999,15.7730645161,-2.70207920792
2006-11-30,683,11,70.2726396322,61.8,18.9345,-2.74658536585
2006-12-31,684,12,85.1699675322,68.77753,19.1730645161,-3.58
2007-01-31,685,1,75.492359519,33.09994,19.8380645161,-3.8463546798
2007-02-28,686,2,48.6799519062,10.799992,20.5775,-3.03364421416
2007-03-31,687,3,48.8482165337,34.40008,19.8741935484,-2.9675862069
2007-04-30,688,4,47.4445419312,111,17.582,-2.97902390438
2007-05-31,689,5,44.4833474755,78.10016,15.8946774194,-2.81369620253
2007-06-30,690,6,49.7754136324,86.7999,14.1996666667,-4.12254697286
2007-07-31,691,7,52.5114024878,200.49994,14.455,-3.69497403946
2007-08-31,692,8,59.0463383198,161.09987,14.2180645161,-2.96795382166
2007-09-30,693,9,75.3391028643,163.2,14.4791666667,-4.08236220472
2007-10-31,694,10,96.2691559792,71.80003,14.8769354839,-2.84452380952
2007-11-30,695,11,73.1060279608,16.5,17.7621666667,-2.95
2007-12-31,696,12,78.712238133,85.23729,18.165,-3.714375
2008-01-31,697,1,67.2666493654,1.0000011,20.5390322581,-5.82648896069
2008-02-29,698,2,56.9083663821,9.30001,22.0112068966,-0.631818181818
2008-03-31,699,3,58.6248372197,28.299993,19.8219354839,-1.97940740741
2008-04-30,700,4,56.8232879639,147.3999,17.7173333333,-5.62311286408
2008-05-31,701,5,59.2668184042,204.09997,16.7983870968,-4.97120399251
2008-06-30,702,6,52.436622262,156.0999,14.4376666667,-6.66245589273
2008-07-31,703,7,58.607209444,234.59994,13.1206451613,-3.9784486166
2008-08-31,704,8,66.5913978815,52.10015,12.6820967742,-3.29846625767
2008-09-30,705,9,77.2740366459,94.4001,13.951,-2.72338171263
2008-10-31,706,10,80.9999227524,89.9,15.9248387097,-2.80507537688
2008-11-30,707,11,93.8742322922,97.5,15.6611666667,-4.7773381295
2008-12-31,708,12,88.0004364252,96.13379,17.8848387097,-1.6114893617
2009-01-31,709,1,82.2020740509,4.399985,21.0114516129,-5.82648896069
2009-02-28,710,2,62.2962919474,18.999988,20.8189285714,-3.63752380952
2009-03-31,711,3,59.0254622102,27.299995,19.424516129,-4.47032258065
2009-04-30,712,4,43.9932521582,6.80001,18.3508333333,-4.53776637407
2009-05-31,713,5,38.3759173155,103.30006,16.2083870968,-3.59597730139
2009-06-30,714,6,49.4850911498,263.6001,14.1546666667,-4.672874535
2009-07-31,715,7,54.9076762199,225.60002,13.1880645161,-5.33031866464
2009-08-31,716,8,62.035615921,151.9,13.7143548387,-3.269097621
2009-09-30,717,9,74.7348436117,181.4001,13.1633333333,-3.68983333333
2009-10-31,718,10,87.2364615202,23.59999,15.725483871,-3.685
2009-11-30,719,11,85.5033688545,46.7001,17.3193333333,-1.41759358289
2009-12-31,720,12,84.6830502748,89.9,18.7656451613,-2.77693693694
2010-01-31,721,1,81.6101646423,3.800011,20.3864516129,-5.82648896069
2010-02-28,722,2,60.1561479568,5.100004,21.335,-3.03364421416
2010-03-31,723,3,48.6408840418,15.100007,20.7316129032,-3.83768073751
2010-04-30,724,4,49.585108757,72.9,17.5531666667,-1.32687301587
2010-05-31,725,5,55.7950730324,160.60015,15.6672580645,-4.91277299801
2010-06-30,726,6,51.3868619204,114.6999,13.5513333333,-4.11745042493
2010-07-31,727,7,57.8333661556,205.20016,12.9780645161,-4.94745264533
2010-08-31,728,8,65.1046130657,117.20015,12.9729032258,-4.9616637931
2010-09-30,729,9,77.5624486208,44.9001,14.143,-2.87040983607
2010-10-31,730,10,69.1094586849,36.50002,15.3746774194,-2.40564285714
2010-11-30,731,11,75.9026350975,30.3,18.8761666667,-4.54268115942
2010-12-31,732,12,78.3450497389,71.30837,19.220483871,-2.53042253521
2011-01-31,733,1,74.5096637607,40.60008,21.0580645161,-6.10498269896
2011-02-28,734,2,61.3444582224,1.4,23.3148214286,-1.87
2011-03-31,735,3,31.5354036093,4.099998,21.9864516129,-3.83768073751
2011-04-30,736,4,41.7226455212,111.9,19.2495,-4.26096385542
2011-05-31,737,5,52.7551777363,118.1999,16.1903225806,-5.39880165289
2011-06-30,738,6,45.2724622488,124.8999,14.9133333333,-4.26083524027
2011-07-31,739,7,52.5488350987,234.39999,13.244516129,-5.29465326633
2011-08-31,740,8,61.0040605068,164.20018,14.4588709677,-3.88115740741
2011-09-30,741,9,74.7672216892,117.8001,14.2048333333,-3.5799071618
2011-10-31,742,10,85.7697839737,48.59994,16.3503225806,-2.63512820513
2011-11-30,743,11,76.0427054167,52.2,17.7663333333,-2.92401913876
2011-12-31,744,12,76.0503219366,16.899991,20.5024193548,0.0224
2012-01-31,745,1,79.1330035925,9.400006,22.6062903226,-5.82648896069
2012-02-29,746,2,56.1130579114,10.400009,21.5024137931,-2.04
2012-03-31,747,3,53.3573103547,1.9999991,20.8446774194,-3.83768073751
2012-04-30,748,4,40.8371379375,91.5,18.7991666667,-6.18163522013
2012-05-31,749,5,56.6526783109,115.20003,16.0762903226,-5.97952164009
2012-06-30,750,6,51.2698373795,271.8,14.9253333333,-6.28788172564
2012-07-31,751,7,53.0412310362,96.90011,13.264516129,-3.66202043133
2012-08-31,752,8,67.7638267279,138.69989,13.4366129032,-4.82877488515
2012-09-30,753,9,82.6105130911,156.6999,14.3828333333,-4.64102788845
2012-10-31,754,10,89.1575628519,35.40014,16.4253225806,-3.43811023622
2012-11-30,755,11,75.4912544489,57.3999,16.974,-4.69776595745
2012-12-31,756,12,93.1406632662,85.89356,20.665483871,-1.62550458716
2013-01-31,757,1,77.620497942,13.60001,21.4788709677,-5.82648896069
2013-02-28,758,2,64.0337917805,5.500012,22.4478571429,-1.2
2013-03-31,759,3,52.0325798988,44.79996,19.5970967742,-4.34648148148
2013-04-30,760,4,53.9354102612,28.40001,20.0515,-3.94198852772
2013-05-31,761,5,55.5512018204,242.1999,15.7917741935,-5.91217678894
2013-06-30,762,6,52.8589200974,171.0999,14.2853333333,-3.98590397155
2013-07-31,763,7,58.3993006945,255.90004,13.4298387097,-4.84809680451
2013-08-31,764,8,63.8560307026,196.50001,14.8017741935,-3.17169336384
2013-09-30,765,9,78.5807733536,232.5999,14.8445,-6.11213789912
2013-10-31,766,10,101.622357607,46.80008,16.0377419355,-6.58677570093
2013-11-30,767,11,83.0508654118,40.5999,18.8716666667,-3.185
2013-12-31,768,12,91.086209178,108.97554,19.1219354839,-1.18
2014-01-31,769,1,82.8726130724,3.1,21.0574193548,-1.42
2014-02-28,770,2,64.8670598269,3.5,21.1919642857,-3.03364421416
2014-03-31,771,3,51.6388063431,28.199987,20.3859677419,-3.71477272727
2014-04-30,772,4,51.7263309956,23.7,18.3618333333,-3.09866666667
2014-05-31,773,5,47.0342217684,168.50019,16.9464516129,-3.60620396601
2014-06-30,774,6,49.5759136677,176.1999,14.6728333333,-5.51689726027
2014-07-31,775,7,55.4541321993,237.80007,13.9390322581,-3.72368621841
2014-08-31,776,8,68.3746582866,167.20005,14.8135483871,-4.04131526768
2014-09-30,777,9,79.008238554,96.9999,14.9491666667,-4.05229583975
2014-10-31,778,10,84.2492160797,35.89986,16.4130645161,-2.61145454545
2014-11-30,779,11,73.9623926878,50.9001,16.771,-2.04297674419
2014-12-31,780,12,81.4706276655,4.399985,18.2566129032,-2.77693693694
2015-01-31,781,1,80.3587614298,0.5999988,21.1282258065,-0.86
2015-02-28,782,2,60.866669178,12.899992,21.7398214286,-0.724385964912
2015-03-31,783,3,58.0630715489,45.90015,19.8935483871,-2.41987381703
2015-04-30,784,4,60.4523789883,119.3001,17.454,-6.36948412698
2015-05-31,785,5,59.1083769798,149.60011,14.8619354839,-6.97497512438
2015-06-30,786,6,48.3398915529,102.8001,14.8811666667,-5.42582480091
2015-07-31,787,7,55.3278341293,138.80002,13.8948387097,-3.38117370892
2015-08-31,788,8,64.2972826958,134.60014,13.5730645161,-4.37513477089
2015-09-30,789,9,78.0300815105,63,14.2525,-3.9609270217
2015-10-31,790,10,69.8802922964,49.40005,17.4787096774,-2.34455307263
2015-11-30,791,11,71.8358790874,12.99999,18.6881666667,-1.79666666667
2015-12-31,792,12,74.1319177151,13.500004,19.1675806452,-1.89
2016-01-31,793,1,76.0836756229,60.90012,21.5917741935,-6.3192371134
2016-02-29,794,2,60.6025644541,9.499994,20.5653448276,-0.91
2016-03-31,795,3,30.4422698915,15.700012,20.3667741935,-8.08326732673
2016-04-30,796,4,30.0287742019,57.6999,18.3836666667,-2.49881355932
2016-05-31,797,5,48.0446317196,173.9999,15.7466129032,-5.232
2016-06-30,798,6,46.8108445406,211.2999,13.823,-5.43904261206
2016-07-31,799,7,51.3914361,219.79992,12.8324193548,-4.67300245098
2016-08-31,800,8,60.1125431061,210.8,12.5924193548,-5.43051747312
2016-09-30,801,9,67.7999669313,118.7001,12.3705,-5.14332421341
2016-10-31,802,10,86.9038711786,78.50006,14.3396774194,-3.40742561449
2016-11-30,803,11,73.2812969685,16.40001,17.3285,-4.276
2016-12-31,804,12,75.7565709352,34.20013,18.2919354839,-5.08743119266
